ID,Gender,Age,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
668,Male,31,Bachelor,3.8,90.1,66.0,75.8,0.516,0.5688,0,1
669,Male,33,Bachelor,1.4,78.8,59.6,75.4,0.4305,0.4355,0,0
670,Male,29,Master,3.9,62.7,89.0,50.3,0.5621,0.5712,0,1
671,Male,30,Master,6.2,53.1,72.3,79.0,0.5495,0.5349,0,0
672,Female,24,PhD,2.4,89.8,70.1,57.1,0.6522,0.5772,1,1
673,Male,29,Bachelor,6.1,78.1,61.7,65.7,0.4868,0.4812,0,0
674,Male,39,PhD,4.1,76.5,52.6,45.0,0.5674,0.5791,0,1
675,Male,31,Bachelor,5.9,67.0,64.4,63.7,0.4582,0.4368,0,0
676,Non-Binary,33,Bachelor,3.1,50.0,36.9,82.9,0.3094,0.2716,0,0
677,Male,32,Bachelor,2.0,88.2,72.7,60.2,0.4875,0.5052,0,0
678,Male,30,Bachelor,3.2,89.3,59.7,66.8,0.4746,0.4778,0,0
679,Non-Binary,29,Master,6.8,79.2,57.3,87.2,0.596,0.5741,1,1
680,Female,29,Bachelor,2.8,64.4,79.5,68.4,0.4616,0.4117,0,0
681,Female,28,PhD,2.7,67.2,80.2,77.3,0.6483,0.5781,1,1
682,Male,24,Bachelor,10.7,51.6,40.4,74.8,0.4182,0.4136,0,0
683,Male,28,Bachelor,7.1,56.2,87.4,68.7,0.5217,0.5188,0,0
684,Female,23,Master,0.6,72.0,77.5,97.1,0.5665,0.513,0,0
685,Female,31,Bachelor,6.2,69.6,77.2,79.8,0.5299,0.4641,0,0
686,Male,31,Master,7.7,80.6,78.5,65.2,0.651,0.6687,1,1
687,Male,35,High School,9.1,72.2,69.2,69.0,0.455,0.4533,0,0
688,Male,30,Bachelor,2.4,81.1,69.0,70.9,0.4744,0.4567,0,0
689,Female,30,Bachelor,1.5,81.9,38.5,72.8,0.3715,0.3079,0,0
690,Male,30,Bachelor,5.1,75.5,100.0,33.2,0.5448,0.5423,0,0
691,Male,33,Bachelor,3.4,65.5,94.9,59.6,0.5101,0.5238,0,0
692,Male,26,Master,4.3,55.3,60.3,50.6,0.457,0.447,0,0
693,Male,28,Master,5.2,78.4,84.7,92.7,0.6644,0.6754,1,1
694,Male,29,Master,3.5,83.3,77.1,66.8,0.5992,0.6007,1,1
695,Male,25,Bachelor,6.9,97.7,69.7,75.6,0.5913,0.6004,1,1
696,Female,30,High School,3.1,79.0,58.8,63.7,0.3537,0.3069,0,0
697,Male,28,Bachelor,3.1,55.4,76.3,70.0,0.4319,0.4346,0,0
698,Male,30,Master,5.8,64.1,65.7,60.6,0.532,0.5461,0,0
699,Male,25,Bachelor,10.1,66.4,64.7,58.9,0.5086,0.5083,0,0
700,Male,27,Bachelor,7.1,69.8,59.3,39.7,0.4366,0.4288,0,0
701,Male,31,Master,4.2,73.7,84.0,67.8,0.604,0.5767,1,1
702,Male,27,Bachelor,3.6,72.4,59.3,69.9,0.4342,0.4423,0,0
703,Male,35,Bachelor,3.3,77.3,59.3,65.4,0.4386,0.427,0,0
704,Male,27,Master,3.3,70.4,80.9,67.9,0.5727,0.5649,0,0
705,Male,29,High School,1.0,41.3,68.0,50.3,0.229,0.2129,0,0
706,Non-Binary,31,High School,2.2,65.3,71.4,82.3,0.3648,0.3358,0,0
707,Male,23,High School,3.8,69.0,84.5,57.6,0.4072,0.4387,0,0
708,Female,27,Master,1.3,69.2,86.2,34.8,0.5173,0.4605,0,0
709,Male,22,Master,5.0,63.7,40.2,66.5,0.4477,0.438,0,0
710,Female,22,Bachelor,1.9,54.2,51.5,82.3,0.35,0.3012,0,0
711,Female,27,PhD,1.0,74.6,81.0,66.5,0.6354,0.5376,1,0
712,Male,39,Bachelor,2.4,66.1,64.6,52.5,0.3946,0.3777,0,0
713,Male,26,Master,6.0,76.1,69.9,61.7,0.5837,0.5644,0,0
714,Male,29,Bachelor,3.2,68.8,65.0,73.6,0.4409,0.4449,0,0
715,Male,35,Bachelor,4.6,69.9,55.6,48.7,0.4026,0.4093,0,0
716,Female,31,Master,5.4,68.5,78.1,64.6,0.583,0.5142,0,0
717,Female,26,Master,2.4,74.2,62.4,80.9,0.5298,0.4718,0,0
718,Non-Binary,26,Master,2.8,87.5,74.9,68.5,0.597,0.5437,1,0
719,Male,33,Bachelor,1.1,70.6,41.2,90.2,0.3639,0.3466,0,0
720,Female,29,Bachelor,0.4,75.1,72.7,51.1,0.4168,0.3495,0,0
721,Female,30,Bachelor,3.5,58.8,68.0,56.2,0.4039,0.3374,0,0
722,Male,26,High School,3.7,78.2,69.5,62.2,0.3911,0.3965,0,0
723,Male,25,Bachelor,7.4,75.8,54.4,39.7,0.4426,0.4728,0,0
724,Female,25,Bachelor,2.0,65.0,46.5,73.6,0.3558,0.2974,0,0
725,Male,28,Bachelor,3.9,74.9,74.2,51.3,0.4688,0.4637,0,0
726,Female,24,Bachelor,6.3,65.2,100.0,68.5,0.5757,0.5097,0,0
727,Male,31,PhD,2.1,66.3,69.3,64.5,0.5875,0.5833,0,1
728,Female,32,Bachelor,2.5,76.7,66.5,84.5,0.4723,0.4207,0,0
729,Male,29,Bachelor,1.4,85.4,62.7,74.8,0.4583,0.4497,0,0
730,Male,34,Bachelor,6.0,73.7,81.4,69.6,0.5393,0.5291,0,0
731,Male,24,Bachelor,6.0,70.6,63.3,51.9,0.4517,0.449,0,0
732,Female,30,Master,2.7,75.1,65.0,70.0,0.531,0.4722,0,0
733,Female,30,Bachelor,8.2,46.1,97.1,79.5,0.5515,0.5045,0,0
734,Male,22,Bachelor,2.6,51.1,68.9,60.4,0.3776,0.3833,0,0
735,Male,28,Master,15.0,47.5,33.6,42.0,0.486,0.4822,0,0
736,Female,29,Bachelor,0.4,63.7,40.8,75.1,0.3144,0.2891,0,0
737,Male,35,Master,8.3,57.4,87.5,67.1,0.6231,0.6381,1,1
738,Female,22,Bachelor,2.1,88.3,42.6,70.9,0.4085,0.3549,0,0
739,Male,24,Master,3.2,47.8,78.8,92.9,0.5312,0.529,0,0
740,Male,36,PhD,2.8,79.5,100.0,59.8,0.7249,0.7185,1,1
741,Male,33,Master,1.3,77.9,56.5,97.7,0.528,0.5404,0,0
742,Male,31,PhD,1.6,69.4,71.9,70.9,0.6057,0.6068,1,1
743,Female,29,Bachelor,5.6,63.5,68.3,64.7,0.4575,0.3815,0,0
744,Male,25,Bachelor,4.9,47.3,100.0,68.4,0.5052,0.5113,0,0
745,Male,27,Master,1.9,70.9,64.9,56.8,0.4912,0.5136,0,0
746,Female,29,Bachelor,1.7,53.9,69.1,74.3,0.3914,0.368,0,0
747,Male,36,Bachelor,2.4,76.7,81.2,92.1,0.5264,0.5192,0,0
748,Male,35,Bachelor,3.7,67.2,90.9,54.3,0.4999,0.4895,0,0
749,Female,36,PhD,6.4,54.3,97.5,61.7,0.6962,0.6411,1,1
750,Female,23,Bachelor,4.5,75.8,58.2,77.4,0.4622,0.4302,0,0
751,Male,29,Bachelor,2.7,77.9,100.0,63.8,0.5573,0.5643,0,0
752,Female,24,Bachelor,1.3,72.8,87.8,65.1,0.4871,0.403,0,0
753,Female,30,Bachelor,1.8,91.8,78.0,51.6,0.501,0.4318,0,0
754,Male,28,High School,4.2,55.2,98.8,75.7,0.4404,0.424,0,0
755,Male,27,Bachelor,2.0,49.5,89.1,66.9,0.4361,0.4633,0,0
756,Female,26,Master,3.0,70.3,63.8,76.6,0.5258,0.4398,0,0
757,Female,31,PhD,5.0,100.0,90.1,85.0,0.8143,0.7436,1,1
758,Male,26,Bachelor,5.2,77.7,52.2,45.5,0.4185,0.4169,0,0
759,Female,23,Bachelor,3.1,61.4,45.3,57.7,0.3369,0.2785,0,0
760,Female,28,Master,1.4,77.8,41.1,73.7,0.451,0.4117,0,0
761,Male,28,Bachelor,9.9,93.2,50.0,71.3,0.5523,0.5618,0,0
762,Male,36,High School,3.0,73.1,65.8,88.3,0.388,0.3691,0,0
763,Male,35,Bachelor,1.7,69.6,97.2,71.5,0.5208,0.5204,0,0
764,Female,26,High School,3.6,80.4,65.5,48.6,0.3666,0.3432,0,0
765,Male,26,Bachelor,3.9,43.5,84.5,67.8,0.4315,0.4254,0,0
766,Male,30,Bachelor,7.1,81.7,77.9,56.8,0.5503,0.5755,0,1
767,Female,22,Bachelor,0.8,75.6,84.6,78.0,0.4945,0.424,0,0
768,Female,25,Master,1.3,71.6,76.4,77.7,0.5472,0.4572,0,0
769,Male,32,Bachelor,8.6,77.3,72.3,36.9,0.5157,0.5164,0,0
770,Female,36,High School,0.7,84.4,85.3,68.7,0.4256,0.3526,0,0
771,Male,28,High School,2.0,73.6,83.3,85.0,0.4264,0.4283,0,0
772,Female,22,High School,1.1,71.5,81.9,76.1,0.3927,0.3456,0,0
773,Male,25,Master,5.0,58.5,83.7,68.5,0.5712,0.5598,0,0
774,Male,25,Bachelor,3.1,70.0,75.4,77.9,0.4808,0.509,0,0
775,Female,24,Bachelor,1.8,59.9,79.2,74.8,0.4422,0.3891,0,0
776,Male,30,High School,3.9,45.9,72.8,81.1,0.3351,0.3481,0,0
777,Male,32,Bachelor,1.7,71.4,72.8,65.8,0.4426,0.4565,0,0
778,Female,28,Bachelor,0.9,66.8,51.2,78.8,0.3672,0.3496,0,0
779,Female,29,Master,6.2,74.3,81.6,80.3,0.6411,0.546,1,0
780,Female,31,Master,4.6,87.1,61.3,90.7,0.6056,0.5066,1,0
781,Female,23,Bachelor,4.6,74.5,76.4,78.7,0.5183,0.482,0,0
782,Male,26,PhD,4.1,87.5,69.3,70.4,0.6829,0.6916,1,1
783,Male,22,Bachelor,5.4,70.2,90.4,68.4,0.5477,0.5496,0,0
784,Male,32,Master,4.3,87.2,76.0,56.3,0.6047,0.6027,1,1
785,Male,31,PhD,3.3,63.3,54.9,49.3,0.5312,0.5265,0,0
786,Female,26,Bachelor,2.8,93.7,43.2,51.4,0.411,0.3746,0,0
787,Male,29,Master,1.2,53.4,59.6,55.0,0.4127,0.391,0,0
788,Male,31,High School,6.0,77.3,84.0,67.5,0.4718,0.4789,0,0
789,Male,22,Bachelor,2.3,74.2,82.3,70.9,0.4948,0.5103,0,0
790,Female,27,Master,2.1,51.5,98.0,69.8,0.558,0.5022,0,0
791,Male,32,Bachelor,3.2,42.0,68.9,93.5,0.401,0.4,0,0
792,Male,23,PhD,1.7,73.0,72.1,69.1,0.6158,0.6157,1,1
793,Male,30,Master,2.5,74.4,56.5,60.5,0.4878,0.5071,0,0
794,Female,27,PhD,2.9,69.7,31.0,66.1,0.4904,0.4403,0,0
795,Male,30,Master,11.7,53.7,88.6,79.6,0.6778,0.7041,1,1
796,Female,23,Master,2.3,57.9,42.9,64.8,0.4006,0.3264,0,0
797,Female,33,Bachelor,3.4,63.6,87.4,49.4,0.4684,0.4258,0,0
798,Male,33,PhD,1.2,62.1,67.4,66.3,0.5595,0.5473,0,0
799,Female,29,Bachelor,1.7,63.9,71.9,78.1,0.4336,0.3805,0,0
800,Female,35,Bachelor,2.1,79.1,63.6,88.0,0.4691,0.4334,0,0
801,Female,29,Bachelor,5.1,72.5,78.8,80.3,0.5289,0.4504,0,0
802,Male,33,Bachelor,2.6,63.6,60.6,66.1,0.3947,0.4264,0,0
803,Male,24,Bachelor,4.8,92.3,84.5,88.8,0.61,0.6266,1,1
804,Female,32,Bachelor,5.8,70.0,98.9,48.8,0.5546,0.4968,0,0
805,Male,30,Bachelor,7.6,63.4,58.1,62.5,0.4498,0.4358,0,0
806,Female,25,PhD,5.5,78.8,71.5,71.3,0.685,0.6001,1,1
807,Female,22,Bachelor,4.7,65.5,82.8,82.4,0.5185,0.4509,0,0
808,Female,27,Master,1.3,63.1,59.6,76.8,0.4691,0.3944,0,0
809,Male,25,Bachelor,7.4,64.4,77.2,49.4,0.4933,0.5097,0,0
810,Male,29,Bachelor,8.7,72.2,61.2,39.8,0.4713,0.4653,0,0
811,Non-Binary,32,Master,3.2,63.5,49.2,80.2,0.4679,0.4325,0,0
812,Female,26,PhD,5.4,40.2,89.0,74.1,0.631,0.5534,1,0
813,Male,30,Master,1.7,55.7,68.6,76.8,0.4815,0.4783,0,0
814,Female,28,Bachelor,1.4,59.9,81.1,70.7,0.4375,0.393,0,0
815,Female,31,PhD,1.3,63.5,90.3,70.2,0.6413,0.555,1,0
816,Male,24,Bachelor,7.7,79.3,65.0,71.8,0.53,0.5453,0,0
817,Male,31,Master,2.7,62.1,74.9,59.0,0.5109,0.5019,0,0
818,Male,37,Bachelor,1.1,59.0,64.6,54.6,0.3592,0.3588,0,0
819,Male,29,Master,4.4,81.8,78.9,73.5,0.6212,0.6016,1,1
820,Male,26,Master,8.4,59.4,73.3,57.0,0.5732,0.5893,0,1
821,Female,22,Master,3.3,56.8,71.5,63.7,0.4991,0.4591,0,0
822,Male,34,Bachelor,6.4,67.1,60.1,55.2,0.4412,0.452,0,0
823,Male,26,Bachelor,0.9,50.4,73.8,70.6,0.3805,0.3831,0,0
824,Male,25,PhD,8.7,70.3,86.3,60.9,0.7374,0.7368,1,1
825,Male,27,Bachelor,4.9,69.1,82.6,66.1,0.5105,0.4871,0,0
826,Female,27,Bachelor,3.8,84.7,62.9,63.1,0.475,0.3977,0,0
827,Male,29,Bachelor,6.0,69.9,58.3,63.7,0.4488,0.4601,0,0
828,Male,35,Master,2.8,93.6,60.3,32.7,0.5241,0.5214,0,0
829,Female,31,Master,4.3,62.7,78.0,69.4,0.5571,0.4698,0,0
830,Male,27,Bachelor,2.8,68.5,44.6,58.4,0.3518,0.3308,0,0
831,Male,27,High School,5.7,69.6,81.1,65.1,0.4336,0.4431,0,0
832,Male,22,Master,2.0,89.2,63.6,82.8,0.5736,0.5867,0,1
833,Male,32,Master,0.7,78.4,76.5,56.9,0.5328,0.5098,0,0
834,Male,28,Bachelor,2.9,53.3,65.6,84.4,0.4077,0.41,0,0
835,Male,28,Bachelor,7.9,79.4,69.7,54.8,0.5264,0.5323,0,0
836,Male,41,Master,7.8,82.9,60.4,51.6,0.5854,0.5766,0,1
837,Female,25,Master,4.5,54.3,58.9,85.8,0.4965,0.4555,0,0
838,Male,25,Bachelor,2.7,63.2,57.8,73.9,0.3959,0.3907,0,0
839,Male,27,Bachelor,2.6,62.3,69.7,67.1,0.4206,0.3949,0,0
840,Female,33,Bachelor,1.0,62.6,54.4,66.7,0.3514,0.3063,0,0
841,Male,29,Bachelor,2.6,71.7,77.3,67.7,0.4721,0.4926,0,0
842,Female,31,Bachelor,5.1,88.7,100.0,67.9,0.6261,0.5458,1,0
843,Male,32,High School,8.0,61.8,51.5,69.7,0.3557,0.34,0,0
844,Non-Binary,33,Master,5.6,74.8,37.5,47.8,0.4559,0.4334,0,0
845,Male,36,Bachelor,2.3,43.4,79.3,59.8,0.3832,0.3871,0,0
846,Male,33,Bachelor,4.8,86.1,73.8,92.7,0.5637,0.5636,0,0
847,Male,27,Bachelor,5.9,49.2,73.0,77.1,0.4508,0.4579,0,0
848,Non-Binary,30,Bachelor,1.6,65.2,61.7,58.5,0.3796,0.3427,0,0
849,Male,29,Bachelor,9.7,70.9,79.1,73.2,0.5789,0.5699,0,1
850,Male,32,Bachelor,3.2,68.5,89.6,24.5,0.4555,0.4664,0,0
851,Male,30,High School,1.5,68.8,74.6,62.6,0.3507,0.3362,0,0
852,Female,29,Bachelor,3.8,55.8,54.6,79.9,0.3871,0.3649,0,0
853,Male,26,Bachelor,1.3,64.1,57.5,93.5,0.403,0.4214,0,0
854,Female,29,High School,6.2,69.5,67.4,66.0,0.3984,0.3334,0,0
855,Male,27,Master,4.1,83.2,56.5,65.6,0.5412,0.5634,0,0
856,Male,27,Bachelor,7.3,62.9,72.8,65.4,0.4939,0.4961,0,0
857,Male,25,PhD,3.6,49.3,65.2,49.0,0.5269,0.5477,0,0
858,Male,30,High School,7.2,58.7,55.0,58.7,0.3331,0.3351,0,0
859,Male,37,High School,3.6,90.2,81.7,76.6,0.4803,0.4777,0,0
860,Male,24,High School,5.4,59.4,79.9,38.3,0.363,0.3587,0,0
861,Female,35,Bachelor,3.0,69.5,59.2,50.4,0.3931,0.3091,0,0
862,Male,34,Bachelor,3.5,85.0,76.7,54.3,0.5039,0.5178,0,0
863,Male,28,Master,2.2,61.7,74.7,82.9,0.5322,0.5216,0,0
864,Male,30,High School,5.8,66.0,81.7,71.1,0.434,0.4484,0,0
865,Male,24,PhD,1.9,77.5,72.3,46.2,0.6034,0.6285,1,1
866,Male,30,Master,5.8,88.5,90.0,60.6,0.678,0.6693,1,1
867,Male,28,Bachelor,4.2,60.3,68.2,71.9,0.438,0.4284,0,0
868,Male,32,High School,5.9,84.7,66.2,62.0,0.4292,0.4443,0,0
869,Female,28,Bachelor,5.0,64.6,78.4,72.0,0.4932,0.427,0,0
870,Female,31,Master,1.8,91.7,77.3,72.4,0.6078,0.5546,1,0
871,Male,31,Bachelor,5.1,71.0,55.7,77.3,0.4486,0.4382,0,0
872,Male,30,Bachelor,4.3,54.1,73.1,71.7,0.4366,0.4582,0,0
873,Female,30,PhD,6.6,80.4,95.6,60.5,0.7663,0.6698,1,1
874,Male,27,Bachelor,7.8,100.0,74.6,66.2,0.6137,0.6187,1,1
875,Male,30,PhD,1.2,81.3,53.1,51.9,0.5519,0.5666,0,0
876,Male,27,Master,1.6,66.7,58.0,85.1,0.4889,0.4966,0,0
877,Female,23,PhD,4.7,60.1,64.0,91.2,0.6219,0.5633,1,0
878,Female,31,Bachelor,6.1,72.7,72.6,70.0,0.5108,0.4277,0,0
879,Male,24,Bachelor,1.3,58.8,67.7,66.6,0.386,0.3799,0,0
880,Male,33,Bachelor,2.7,67.1,69.1,79.2,0.449,0.45,0,0
881,Male,34,High School,7.6,69.1,68.9,79.1,0.4373,0.4259,0,0
882,Female,24,Bachelor,1.4,69.5,39.1,79.6,0.345,0.3181,0,0
883,Male,22,Master,4.1,64.3,47.4,53.3,0.4432,0.4355,0,0
884,Male,26,Master,2.5,66.3,69.2,89.6,0.5406,0.5292,0,0
885,Female,29,High School,3.4,61.4,70.1,63.3,0.3421,0.3152,0,0
886,Male,28,Bachelor,3.7,52.5,36.7,68.9,0.3066,0.2909,0,0
887,Female,31,Bachelor,2.9,89.0,85.9,59.9,0.543,0.4629,0,0
888,Male,26,High School,2.3,70.1,75.8,66.8,0.3743,0.3819,0,0
889,Male,32,Bachelor,11.7,81.8,58.8,42.4,0.5355,0.5556,0,0
890,Male,31,Bachelor,8.4,74.6,75.5,75.6,0.5636,0.566,0,0
891,Female,25,Bachelor,1.0,73.7,48.8,89.7,0.3945,0.3229,0,0
892,Female,30,Bachelor,2.4,86.8,77.5,75.9,0.5236,0.471,0,0
893,Female,29,PhD,3.3,75.2,53.2,70.0,0.5859,0.5067,0,0
894,Male,25,Master,5.9,77.9,61.7,71.9,0.5746,0.5914,0,1
895,Female,23,Bachelor,1.7,56.4,88.3,80.4,0.4662,0.4046,0,0
896,Male,27,Bachelor,9.6,56.6,44.8,56.3,0.4082,0.4254,0,0
897,Male,33,Bachelor,5.7,56.7,71.4,78.1,0.4658,0.4595,0,0
898,Female,22,Bachelor,8.1,78.7,51.5,64.9,0.4829,0.4146,0,0
899,Male,32,Bachelor,9.4,49.5,53.4,62.4,0.4196,0.3908,0,0
900,Male,27,Master,11.1,88.1,75.6,58.8,0.7017,0.6918,1,1
901,Male,30,Master,5.0,62.5,59.7,63.7,0.5017,0.5044,0,0
902,Male,28,Bachelor,2.3,71.7,94.3,53.4,0.5033,0.5048,0,0
903,Male,25,Bachelor,4.1,76.4,35.9,69.4,0.3788,0.3879,0,0
904,Male,30,PhD,5.5,59.8,73.5,73.3,0.6392,0.6579,1,1
905,Male,24,High School,4.8,62.5,70.6,81.2,0.3882,0.3887,0,0
906,Female,29,Master,3.7,66.8,56.4,72.2,0.4967,0.4381,0,0
907,Female,29,Bachelor,2.9,68.9,75.0,52.4,0.4418,0.4055,0,0
908,Male,29,Master,7.5,55.2,71.0,62.5,0.5486,0.552,0,0
909,Male,30,PhD,1.7,56.3,84.9,54.6,0.5897,0.5759,0,1
910,Male,27,Bachelor,1.8,82.5,46.6,60.4,0.3872,0.3793,0,0
911,Male,31,Master,2.6,72.8,58.7,84.6,0.5216,0.4896,0,0
912,Male,27,Master,3.5,58.5,55.3,74.2,0.4692,0.4551,0,0
913,Female,27,Bachelor,4.7,77.0,78.9,86.5,0.5444,0.4537,0,0
914,Male,23,Bachelor,7.5,59.1,74.8,42.4,0.4632,0.4684,0,0
915,Male,29,Bachelor,2.3,44.6,78.3,70.1,0.3964,0.4146,0,0
916,Male,36,PhD,4.5,76.4,84.9,48.7,0.6781,0.664,1,1
917,Male,24,Bachelor,7.3,87.8,78.5,49.6,0.5634,0.5498,0,0
918,Female,22,Master,7.2,54.7,49.0,68.4,0.4817,0.438,0,0
919,Female,30,Bachelor,1.9,88.9,71.4,71.4,0.4981,0.4316,0,0
920,Male,29,Master,4.6,67.7,90.8,76.8,0.6247,0.6286,1,1
921,Female,29,Bachelor,3.8,68.4,90.4,56.0,0.5053,0.4558,0,0
922,Male,30,Bachelor,3.3,72.5,84.5,53.7,0.4889,0.4783,0,0
923,Female,36,Bachelor,1.4,45.3,53.4,74.6,0.314,0.266,0,0
924,Female,32,Bachelor,1.6,49.5,55.3,67.4,0.3257,0.279,0,0
925,Male,30,Master,2.7,51.0,83.2,75.1,0.5251,0.5018,0,0
926,Male,28,High School,5.4,70.7,70.4,67.7,0.4024,0.4097,0,0
927,Male,31,Master,2.2,51.4,59.4,51.1,0.4151,0.4241,0,0
928,Male,36,Bachelor,6.5,73.2,88.3,60.6,0.555,0.5562,0,0
929,Female,26,PhD,5.2,65.1,55.4,71.1,0.591,0.5405,0,0
930,Male,25,Bachelor,6.4,30.3,69.7,50.3,0.3595,0.3556,0,0
931,Male,33,Bachelor,6.4,77.5,79.0,70.9,0.5498,0.559,0,0
932,Female,34,Bachelor,8.9,66.2,96.1,64.4,0.5967,0.5324,1,0
933,Non-Binary,29,High School,13.4,76.5,67.9,84.8,0.5415,0.4916,0,0
934,Male,32,Bachelor,4.0,42.9,66.1,89.8,0.4011,0.4185,0,0
935,Male,26,Master,9.1,60.1,63.8,57.1,0.5552,0.5571,0,0
936,Male,28,Bachelor,8.4,69.6,73.3,40.3,0.4982,0.5129,0,0
937,Male,30,Bachelor,7.1,74.9,78.2,58.5,0.5338,0.5143,0,0
938,Female,31,Master,2.6,86.5,83.6,60.3,0.6083,0.537,1,0
939,Male,31,PhD,8.9,73.2,80.6,44.3,0.7099,0.7029,1,1
940,Male,27,Master,14.6,61.1,63.0,60.6,0.6347,0.622,1,1
941,Male,31,Master,5.7,45.7,81.4,78.9,0.5498,0.571,0,1
942,Male,27,PhD,4.1,59.0,71.3,58.3,0.5922,0.5952,1,1
943,Female,23,High School,1.2,54.7,80.8,87.4,0.3565,0.2916,0,0
944,Female,33,Master,1.4,71.8,55.6,64.8,0.468,0.4043,0,0
945,Male,25,Master,3.4,75.6,92.8,56.3,0.6117,0.6258,1,1
946,Male,33,Bachelor,6.5,71.4,65.0,74.0,0.4937,0.481,0,0
947,Male,26,Bachelor,2.9,65.0,62.4,43.8,0.3805,0.3662,0,0
948,Female,33,Master,2.1,91.3,54.2,67.7,0.5327,0.4666,0,0
949,Female,25,Master,3.9,73.7,56.8,76.4,0.5257,0.4696,0,0
950,Male,36,Bachelor,9.8,63.2,70.8,81.7,0.5429,0.5319,0,0
951,Female,32,Master,3.2,59.2,55.3,77.5,0.4712,0.4205,0,0
952,Female,34,Bachelor,2.5,65.7,91.1,58.5,0.4852,0.4275,0,0
953,Male,28,Bachelor,8.2,78.9,67.2,69.5,0.5396,0.542,0,0
954,Female,24,Master,4.4,63.0,68.7,79.2,0.5425,0.4413,0,0
955,Male,32,Bachelor,4.8,64.4,63.9,52.5,0.4202,0.4205,0,0
956,Male,22,Master,3.8,64.4,73.3,59.2,0.5277,0.5239,0,0
957,Male,24,High School,3.2,80.2,55.0,80.1,0.3671,0.373,0,0
958,Male,24,Bachelor,4.7,83.5,69.0,50.7,0.4874,0.4775,0,0
959,Male,32,Master,3.9,73.1,84.0,70.4,0.6015,0.5959,1,1
960,Female,31,Master,4.1,77.7,60.5,79.2,0.5549,0.4963,0,0
961,Male,28,Bachelor,2.2,70.8,78.7,84.2,0.4891,0.5108,0,0
962,Female,29,Master,6.1,67.7,36.1,58.0,0.4507,0.3768,0,0
963,Male,29,Bachelor,4.2,73.7,72.2,77.4,0.4958,0.5035,0,0
964,Male,33,Master,4.6,86.3,52.3,59.0,0.5355,0.5538,0,0
965,Male,25,Master,2.5,63.0,67.1,76.7,0.5085,0.5189,0,0
966,Male,29,Master,2.7,52.0,72.6,76.4,0.4965,0.5137,0,0
967,Female,28,Master,3.7,65.4,65.6,65.4,0.5129,0.4432,0,0
968,Male,31,Bachelor,2.2,61.2,45.5,62.3,0.3304,0.349,0,0
969,Male,29,Bachelor,7.2,87.3,85.8,68.1,0.6065,0.5957,1,1
970,Male,33,Bachelor,5.5,76.8,70.7,41.9,0.4733,0.4742,0,0
971,Female,35,Bachelor,0.4,67.3,97.7,64.7,0.4896,0.4233,0,0
972,Female,34,High School,11.2,62.0,86.2,69.7,0.5083,0.4403,0,0
973,Female,26,Bachelor,0.5,80.1,46.9,78.3,0.3859,0.3138,0,0
974,Male,22,High School,6.4,87.6,64.4,48.9,0.4223,0.3927,0,0
975,Male,31,Bachelor,2.3,64.0,91.1,74.7,0.4978,0.5155,0,0
976,Male,34,Bachelor,3.7,49.5,63.2,72.9,0.3858,0.3588,0,0
977,Male,28,Master,4.4,65.8,66.3,62.2,0.5218,0.5255,0,0
978,Male,32,High School,9.0,64.0,60.6,35.6,0.3614,0.342,0,0
979,Male,35,Bachelor,2.4,51.9,59.6,56.7,0.3435,0.3308,0,0
980,Male,34,PhD,2.3,75.0,85.5,72.0,0.6752,0.6854,1,1
981,Male,35,Bachelor,1.4,85.1,35.3,69.3,0.365,0.3674,0,0
982,Female,24,PhD,6.8,72.1,38.2,40.2,0.5405,0.4737,0,0
983,Male,29,High School,4.1,79.7,73.2,60.5,0.4103,0.4275,0,0
984,Male,22,Master,7.3,60.7,93.8,45.5,0.6116,0.6073,1,1
985,Female,29,Bachelor,2.3,65.1,74.8,72.2,0.4469,0.4117,0,0
986,Male,25,Bachelor,2.9,66.4,51.7,47.3,0.3555,0.3394,0,0
987,Female,27,Master,4.8,82.2,88.5,84.2,0.6711,0.5727,1,1
988,Male,28,Master,4.0,73.7,79.8,52.5,0.569,0.567,0,0
989,Male,29,Bachelor,5.9,55.7,71.8,78.9,0.4679,0.468,0,0
990,Female,27,Master,7.7,79.9,55.0,60.3,0.5694,0.4882,0,0
991,Female,27,Master,4.6,59.0,87.5,73.3,0.5851,0.5107,0,0
992,Female,25,Master,3.2,62.8,92.6,71.8,0.591,0.5406,0,0
993,Male,26,Master,2.2,58.6,73.7,46.6,0.4748,0.4689,0,0
994,Male,29,Bachelor,2.4,54.6,72.3,65.0,0.4013,0.3723,0,0
995,Male,26,Master,2.2,82.2,73.1,52.3,0.5478,0.5216,0,0
996,Male,23,Bachelor,6.1,54.1,75.8,79.3,0.479,0.5103,0,0
997,Female,26,Master,2.1,77.9,78.1,52.8,0.5503,0.506,0,0
998,Male,28,Master,3.6,80.2,66.8,74.4,0.569,0.5625,0,0
999,Non-Binary,27,Bachelor,8.8,58.7,80.4,55.2,0.5132,0.4895,0,0
1000,Male,26,Bachelor,4.4,82.0,63.2,75.7,0.4921,0.496,0,0
